date, pm25, pm10, o3, no2, so2, co
2023/8/27, 46, 20, 43, 5, 2, 4
2023/8/28, 53, 20, 33, 7, 2, 6
2023/8/29, 54, 24, 35, 5, 2, 7
2023/8/30, 62, 18, 35, 4, 2, 6
2023/8/31, 45, 25, 25, 4, 2, 6
2023/9/1, 59, 16, 17, 3, , 6
2023/9/2, 46, 16, 32, 3, 2, 6
2023/9/3, 46, 30, 46, 5, 2, 6
2023/9/4, 75, 34, 43, 6, 4, 6
2023/9/5, 77, 27, 23, 6, 2, 6
2023/9/6, 61, 10, 10, 7, 2, 7
2023/9/7, 36, 13, 16, 7, 2, 6
2023/9/8, 45, 20, 32, 9, 2, 6
2023/9/9, 55, 16, 20, 9, 2, 5
2023/9/10, 43, 20, 8, 11, 3, 6
2023/9/11, 53, 24, 43, 11, 2, 6
2023/9/12, 59, 25, 34, 13, 2, 6
2023/9/13, 57, 20, 11, 11, 2, 6
2023/9/14, 50, 12, 10, 10, , 6
2023/9/15, 39, 18, 64, 9, 2, 5
2023/9/16, 51, 24, 56, 10, 2, 5
2023/9/17, 54, 22, 39, 9, 2, 5
2023/9/18, 50, 28, 71, 10, 2, 5
2023/9/19, 60, 31, 90, 9, 2, 5
2023/9/20, 62, 36, 102, 10, 2, 6
2023/9/21, 76, 44, 63, 13, 2, 6
2023/9/22, 92, 42, 89, 14, 2, 7
2023/9/23, 81, 27, 44, 8, 2, 6
2023/9/24, 53, 27, 45, 9, 2, 6
2023/9/25, 53, 31, 54, 12, 2, 7
2023/9/26, 64, 38, 67, 11, 2, 6
2023/9/27, 76, 48, 85, 13, 2, 7
2023/9/28, 115, 29, 53, 7, 2, 5
2023/9/29, 72, 27, 55, 3, 2, 4
2023/9/30, 66, 40, 64, 6, 2, 5
2023/4/1, 75, 36, 17, 21, 2, 8
2023/4/2, 80, 37, 27, 15, 2, 6
2023/4/3, 71, 31, 19, 13, 1, 6
2023/4/4, 67, 30, 7, 13, 1, 6
2023/4/5, 70, 29, 17, 10, 1, 6
2023/4/6, 67, 20, 44, 7, 1, 6
2023/4/7, 43, 60, 39, 8, 2, 6
2023/4/8, 96, 59, 36, 14, 2, 7
2023/4/9, 107, 54, 29, 23, 2, 7
2023/4/10, 93, 48, 26, 20, 2, 7
2023/4/11, 75, 53, 61, 22, 2, 7
2023/4/12, 93, 45, 39, 15, 2, 6
2023/4/13, 80, 59, 22, 20, 2, 6
2023/4/14, 99, 47, 45, 14, 2, 7
2023/4/15, 94, 56, 135, 21, 2, 8
2023/4/16, 96, 45, 63, 11, 2, 7
2023/4/17, 88, 41, 26, 12, 1, 6
2023/4/18, 73, 33, 43, 18, 1, 7
2023/4/19, 68, 49, 107, 21, 2, 8
2023/4/20, 96, 28, 33, 15, 2, 7
2023/4/21, 59, 36, 38, 13, 2, 5
2023/4/22, 74, 42, 30, 11, 1, 5
2023/4/23, 74, 37, 12, 15, 1, 7
2023/4/24, 68, 21, 10, 10, 1, 6
2023/4/25, 47, 23, 46, 12, 2, 6
2023/4/26, 48, 41, 58, 16, 3, 6
2023/4/27, 77, 36, 49, 15, 2, 6
2023/4/28, 70, 25, 27, 9, 1, 6
2023/4/29, 55, 42, 68, 6, 2, 5
2023/4/30, 66, 56, 45, 12, 2, 6
2023/5/1, 98, 43, 65, 8, 2, 5
2023/5/2, 71, 34, 31, 9, 1, 4
2023/5/3, 60, 29, 36, 7, 1, 4
2023/5/4, 56, 30, 27, 7, 1, 4
2023/5/5, 57, 29, 22, 8, 1, 5
2023/5/6, 59, 21, 17, 8, 1, 6
2023/5/7, 49, 27, 29, 5, 1, 6
2023/5/8, 70, 43, 48, 11, 2, 6
2023/5/9, 102, 45, 31, 13, 2, 5
2023/5/10, 75, 41, 33, 15, 2, 5
2023/5/11, 72, 20, 15, 11, 1, 7
2023/5/12, 49, 37, 1, 16, 2, 8
2023/5/13, 87, 44, 37, 18, 2, 7
2023/5/14, 99, 49, 122, 15, 2, 7
2023/5/15, 99, 34, 51, 8, 2, 6
2023/5/16, 72, 26, 36, 8, 1, 5
2023/5/17, 51, 45, 88, 10, 1, 5
2023/5/18, 86, 37, 59, 11, 3, 6
2023/5/19, 81, 43, 41, 6, 1, 5
2023/5/20, 83, 31, 41, 4, , 4
2023/5/21, 66, 36, 60, 5, 1, 4
2023/5/22, 67, 28, 34, 8, 2, 6
2023/5/23, 62, 28, 26, 16, 2, 6
2023/5/24, 59, 38, 54, 13, 2, 6
2023/5/25, 80, 27, 36, 7, 2, 4
2023/5/26, 55, 31, 50, 7, 2, 4
2023/5/27, 64, 38, 89, 9, 2, 6
